iter	Passed	Remaining
236	945	7031
237	948	7022
238	951	7011
239	954	7000
240	957	6989
241	960	6979
242	963	6969
243	967	6960
244	970	6950
245	973	6940
246	976	6931
247	979	6921
248	982	6911
249	986	6902
250	989	6893
251	992	6884
252	995	6875
253	998	6865
254	1001	6856
255	1004	6846
256	1008	6837
257	1011	6827
258	1014	6819
259	1017	6811
260	1020	6802
261	1023	6792
262	1027	6783
263	1030	6773
264	1033	6764
265	1036	6758
266	1039	6750
267	1043	6741
268	1046	6732
269	1049	6724
270	1052	6717
271	1056	6713
272	1060	6707
273	1063	6700
274	1067	6698
275	1071	6691
276	1074	6683
277	1077	6675
278	1081	6668
279	1084	6662
280	1087	6654
281	1091	6651
282	1095	6644
283	1098	6636
284	1101	6628
285	1104	6620
286	1107	6613
287	1111	6605
288	1114	6597
289	1117	6588
290	1120	6579
291	1123	6570
292	1126	6562
293	1129	6554
294	1132	6546
295	1135	6539
296	1138	6530
297	1142	6522
298	1145	6514
299	1148	6506
300	1151	6498
301	1154	6491
302	1157	6483
303	1160	6475
304	1163	6467
305	1166	6459
306	1170	6452
307	1173	6444
308	1176	6437
309	1179	6429
310	1182	6423
311	1185	6415
312	1189	6410
313	1192	6403
314	1195	6397
315	1198	6389
316	1202	6382
317	1205	6374
318	1208	6367
319	1211	6360
320	1214	6353
321	1217	6347
322	1221	6339
323	1224	6332
324	1227	6324
325	1230	6318
326	1233	6310
327	1236	6304
328	1239	6296
329	1242	6289
330	1246	6282
331	1249	6276
332	1252	6269
333	1255	6262
334	1258	6256
335	1261	6248
336	1265	6243
337	1268	6237
338	1271	6229
339	1274	6223
340	1277	6217
341	1281	6210
342	1284	6203
343	1287	6196
344	1290	6190
345	1293	6183
346	1296	6176
347	1299	6169
348	1302	6163
349	1306	6157
350	1309	6150
351	1312	6144
352	1315	6138
353	1318	6131
354	1321	6125
355	1324	6118
356	1328	6112
357	1331	6106
358	1334	6100
359	1337	6094
360	1340	6088
361	1343	6081
362	1347	6075
363	1350	6069
364	1351	6054
365	1355	6050
366	1358	6044
367	1361	6038
368	1364	6032
369	1367	6025
370	1371	6020
371	1374	6014
372	1377	6008
373	1380	6001
374	1383	5995
375	1386	5990
376	1390	5984
377	1393	5978
378	1396	5971
379	1399	5967
380	1403	5962
381	1406	5956
382	1409	5950
383	1412	5944
384	1415	5939
385	1419	5933
386	1422	5927
387	1425	5922
388	1428	5917
389	1432	5914
390	1436	5909
391	1439	5904
392	1442	5898
393	1444	5888
394	1448	5885
395	1451	5880
396	1454	5874
397	1458	5868
398	1461	5863
399	1464	5858
400	1467	5852
401	1470	5847
402	1473	5840
403	1477	5835
404	1480	5829
405	1483	5823
406	1486	5818
407	1489	5812
408	1492	5807
409	1495	5801
410	1499	5795
411	1502	5790
412	1505	5784
413	1508	5779
414	1511	5773
415	1514	5767
416	1517	5762
417	1521	5756
418	1524	5751
419	1527	5745
420	1530	5740
421	1533	5734
422	1536	5729
423	1540	5724
424	1543	5718
425	1546	5714
426	1549	5708
427	1553	5705
428	1556	5700
429	1559	5694
430	1562	5689
431	1566	5685
432	1569	5680
433	1572	5674
434	1575	5669
435	1578	5663
436	1582	5659
437	1585	5654
438	1588	5649
439	1592	5644
440	1595	5639
441	1598	5635
442	1601	5629
443	1605	5625
444	1608	5620
445	1611	5615
446	1614	5610
447	1617	5605
448	1621	5599
449	1624	5594
450	1627	5589
451	1630	5584
452	1633	5579
453	1636	5573
454	1639	5568
455	1642	5562
456	1646	5557
457	1649	5552
458	1652	5548
459	1655	5543
460	1659	5538
461	1662	5533
462	1665	5528
463	1668	5523
464	1671	5518
465	1675	5516
466	1679	5513
467	1683	5509
468	1686	5505
469	1690	5504
470	1694	5502
471	1698	5499
472	1702	5495
473	1705	5492
474	1709	5487
475	1712	5483
476	1716	5481
477	1720	5478
478	1723	5473
479	1727	5468
480	1730	5464
481	1733	5460
482	1737	5456
483	1740	5452
484	1744	5448
485	1747	5443
486	1751	5440
487	1754	5435
488	1757	5431
489	1761	5427
490	1764	5422
491	1767	5417
492	1770	5412
493	1773	5408
494	1777	5403
495	1780	5398
496	1783	5393
497	1786	5389
498	1790	5385
499	1793	5381
500	1797	5377
501	1800	5373
502	1804	5370
503	1808	5367
504	1812	5364
505	1815	5361
506	1819	5358
507	1823	5354
508	1827	5353
509	1831	5349
510	1834	5345
511	1838	5341
512	1841	5338
513	1845	5335
514	1849	5331
515	1852	5328
516	1856	5325
517	1860	5321
518	1863	5317
519	1867	5313
520	1870	5309
521	1874	5306
522	1877	5301
523	1880	5296
524	1884	5293
525	1887	5289
526	1890	5285
527	1894	5280
528	1897	5276
529	1900	5271
530	1903	5266
531	1906	5262
532	1910	5257
533	1913	5253
534	1916	5248
535	1919	5243
536	1923	5239
537	1926	5234
538	1929	5229
539	1932	5224
540	1935	5219
541	1938	5214
542	1941	5209
543	1944	5205
544	1947	5200
545	1950	5195
546	1954	5190
547	1957	5186
548	1960	5181
549	1963	5177
550	1967	5174
551	1970	5169
552	1974	5165
553	1977	5160
554	1980	5155
555	1983	5151
556	1986	5146
557	1990	5142
558	1993	5137
559	1996	5133
560	1999	5129
561	2002	5124
562	2006	5121
563	2009	5116
564	2012	5112
565	2016	5107
566	2019	5103
567	2022	5099
568	2025	5095
569	2029	5091
570	2032	5087
571	2036	5084
572	2039	5080
573	2043	5076
574	2046	5072
575	2049	5067
576	2053	5063
577	2056	5058
578	2059	5054
579	2062	5049
580	2066	5046
581	2069	5041
582	2072	5037
583	2075	5032
584	2078	5028
585	2082	5024
586	2085	5019
587	2088	5015
588	2091	5010
589	2094	5006
590	2098	5001
591	2101	4997
592	2104	4992
593	2107	4988
594	2110	4983
595	2113	4979
596	2117	4975
597	2120	4970
598	2123	4966
599	2126	4961
600	2129	4957
601	2132	4952
602	2136	4948
603	2139	4943
604	2142	4939
605	2145	4935
606	2148	4930
607	2151	4926
608	2155	4922
609	2158	4919
610	2162	4914
611	2165	4910
612	2168	4906
613	2171	4902
614	2174	4897
615	2178	4893
616	2181	4888
617	2184	4884
618	2187	4879
619	2190	4875
620	2193	4870
621	2196	4866
622	2199	4862
623	2203	4857
624	2206	4853
625	2209	4848
626	2212	4844
627	2215	4840
628	2218	4835
629	2221	4831
630	2224	4827
631	2228	4822
632	2231	4818
633	2234	4814
634	2237	4809
635	2240	4805
636	2243	4801
637	2247	4797
638	2250	4792
639	2253	4788
640	2256	4784
641	2260	4780
642	2263	4776
643	2266	4772
644	2269	4768
645	2272	4763
646	2276	4759
647	2279	4755
648	2282	4750
649	2285	4746
650	2288	4741
651	2291	4737
652	2294	4733
653	2297	4729
654	2301	4725
655	2304	4721
656	2307	4717
657	2311	4713
658	2314	4709
659	2317	4704
660	2320	4700
661	2323	4697
662	2327	4693
663	2330	4688
664	2333	4684
665	2336	4680
666	2340	4678
667	2343	4673
668	2347	4669
669	2350	4665
670	2354	4663
671	2356	4657
672	2360	4653
673	2363	4649
674	2366	4646
675	2370	4643
676	2373	4638
677	2377	4635
678	2380	4631
679	2384	4628
680	2387	4624
681	2390	4620
682	2394	4616
683	2397	4612
684	2400	4608
685	2403	4604
686	2406	4600
687	2410	4595
688	2413	4591
689	2416	4587
690	2419	4583
691	2422	4579
692	2425	4575
693	2429	4571
694	2432	4566
695	2435	4562
696	2438	4558
697	2441	4554
698	2444	4549
699	2447	4545
700	2450	4541
701	2453	4536
702	2456	4532
703	2460	4529
704	2463	4525
705	2466	4520
706	2469	4517
707	2473	4513
708	2476	4508
709	2479	4504
710	2482	4500
711	2485	4496
712	2488	4491
713	2491	4487
714	2494	4483
715	2497	4479
716	2501	4475
717	2504	4471
718	2507	4467
719	2510	4462
720	2513	4458
721	2516	4455
722	2520	4451
723	2523	4447
724	2526	4443
725	2529	4439
726	2532	4435
727	2536	4431
728	2539	4427
729	2542	4423
730	2546	4420
731	2549	4415
732	2552	4411
733	2555	4407
734	2558	4403
735	2561	4399
736	2565	4395
737	2568	4391
738	2571	4387
739	2574	4383
740	2577	4379
741	2580	4375
742	2583	4371
743	2587	4367
744	2590	4363
745	2593	4359
746	2596	4355
747	2599	4351
748	2602	4347
749	2606	4343
750	2609	4339
751	2612	4335
752	2615	4332
753	2619	4328
754	2622	4324
755	2625	4320
756	2628	4316
757	2632	4312
758	2635	4308
759	2638	4305
760	2641	4301
761	2645	4298
762	2648	4294
763	2651	4290
764	2654	4286
765	2658	4282
766	2661	4278
767	2664	4274
768	2668	4271
769	2671	4267
770	2674	4263
771	2677	4259
772	2681	4255
773	2684	4252
774	2687	4248
775	2690	4244
776	2694	4240
777	2697	4236
778	2700	4233
779	2703	4229
780	2707	4225
781	2710	4221
782	2713	4217
783	2716	4213
784	2720	4210
785	2723	4207
786	2727	4203
787	2730	4200
788	2734	4196
789	2737	4192
790	2740	4188
791	2743	4185
792	2747	4181
793	2750	4177
794	2753	4173
795	2756	4170
796	2760	4166
797	2763	4162
798	2766	4158
799	2769	4154
800	2773	4151
801	2776	4147
802	2780	4144
803	2783	4141
804	2787	4137
805	2790	4133
806	2793	4130
807	2797	4126
808	2800	4122
809	2803	4118
810	2806	4114
811	2809	4111
812	2813	4107
813	2816	4103
814	2819	4099
815	2822	4095
816	2825	4091
817	2828	4087
818	2832	4083
819	2835	4079
820	2838	4075
821	2841	4071
822	2844	4068
823	2848	4064
824	2851	4060
825	2854	4056
826	2857	4053
827	2861	4049
828	2864	4045
829	2867	4041
830	2870	4037
831	2873	4034
832	2876	4030
833	2879	4026
834	2883	4022
835	2886	4018
836	2889	4014
837	2892	4011
838	2895	4007
839	2899	4003
840	2902	3999
841	2905	3996
842	2908	3992
843	2912	3988
844	2915	3984
845	2918	3980
846	2921	3976
847	2924	3973
848	2927	3968
849	2930	3965
850	2933	3961
851	2936	3957
852	2939	3953
853	2943	3949
854	2946	3945
855	2949	3941
856	2952	3938
857	2956	3934
858	2959	3930
859	2962	3926
860	2965	3923
861	2968	3919
862	2972	3915
863	2975	3911
864	2979	3909
865	2982	3905
866	2985	3901
867	2988	3897
868	2991	3893
869	2995	3890
870	2998	3886
871	3001	3882
872	3004	3879
873	3008	3875
874	3011	3871
875	3014	3867
876	3017	3863
877	3020	3860
878	3023	3856
879	3027	3852
880	3030	3848
881	3033	3844
882	3036	3841
883	3039	3837
884	3043	3833
885	3046	3830
886	3049	3826
887	3052	3822
888	3056	3819
889	3059	3815
890	3062	3812
891	3066	3808
892	3069	3804
893	3072	3801
894	3075	3797
895	3079	3793
896	3082	3790
897	3085	3786
898	3089	3783
899	3092	3779
900	3095	3775
901	3098	3772
902	3102	3768
903	3105	3764
904	3108	3761
905	3111	3757
906	3115	3754
907	3119	3751
908	3122	3747
909	3125	3743
910	3129	3740
911	3132	3737
912	3135	3733
913	3139	3729
914	3142	3726
915	3145	3722
916	3148	3719
917	3152	3715
918	3155	3711
919	3158	3708
920	3161	3704
921	3165	3700
922	3168	3696
923	3171	3692
924	3174	3689
925	3177	3685
926	3181	3682
927	3184	3678
928	3187	3674
929	3190	3671
930	3194	3667
931	3197	3663
932	3200	3660
933	3203	3656
934	3207	3653
935	3210	3649
936	3213	3646
937	3217	3642
938	3220	3638
939	3223	3635
940	3226	3631
941	3230	3628
942	3233	3624
943	3237	3621
944	3240	3618
945	3244	3614
946	3248	3611
947	3251	3608
948	3254	3604
949	3258	3601
950	3261	3597
951	3264	3593
952	3267	3589
953	3271	3586
954	3274	3583
955	3277	3579
956	3281	3575
957	3284	3572
958	3287	3569
959	3291	3565
960	3294	3562
961	3298	3558
962	3301	3555
963	3305	3552
964	3309	3549
965	3313	3546
966	3316	3542
967	3320	3539
968	3323	3536
969	3327	3533
970	3331	3530
971	3334	3526
972	3337	3523
973	3341	3519
974	3344	3516
975	3347	3512
976	3350	3508
977	3354	3505
978	3357	3501
979	3360	3497
980	3363	3494
981	3366	3490
982	3370	3486
983	3373	3482
984	3376	3479
985	3379	3475
986	3382	3471
987	3385	3468
988	3389	3464
989	3392	3460
990	3395	3456
991	3398	3453
992	3401	3449
993	3404	3445
994	3407	3441
995	3410	3438
996	3414	3434
997	3417	3430
998	3420	3427
999	3423	3423
1000	3426	3419
1001	3430	3416
1002	3433	3413
1003	3436	3409
1004	3440	3406
1005	3443	3402
1006	3447	3399
1007	3450	3395
1008	3453	3391
1009	3456	3387
1010	3459	3384
1011	3462	3380
1012	3465	3376
1013	3468	3372
1014	3471	3369
1015	3475	3365
1016	3478	3362
1017	3481	3358
1018	3484	3354
1019	3488	3351
1020	3491	3347
1021	3494	3344
1022	3498	3341
1023	3501	3337
1024	3505	3334
1025	3508	3330
1026	3511	3327
1027	3514	3323
1028	3518	3320
1029	3522	3316
1030	3525	3313
1031	3528	3309
1032	3531	3306
1033	3534	3302
1034	3537	3298
1035	3540	3294
1036	3544	3291
1037	3547	3287
1038	3550	3283
1039	3553	3280
1040	3556	3276
1041	3559	3272
1042	3563	3269
1043	3566	3265
1044	3569	3262
1045	3572	3258
1046	3576	3255
1047	3579	3251
1048	3582	3247
1049	3585	3244
1050	3589	3240
1051	3592	3237
1052	3595	3233
1053	3598	3229
1054	3601	3226
1055	3604	3222
1056	3607	3218
1057	3611	3215
1058	3614	3211
1059	3617	3208
1060	3621	3204
1061	3624	3201
1062	3628	3198
1063	3632	3195
1064	3635	3191
1065	3638	3187
1066	3641	3184
1067	3644	3180
1068	3648	3177
1069	3651	3173
1070	3654	3170
1071	3658	3166
1072	3661	3163
1073	3664	3159
1074	3667	3155
1075	3670	3152
1076	3674	3148
1077	3677	3145
1078	3680	3141
1079	3683	3137
1080	3687	3134
1081	3690	3131
1082	3693	3127
1083	3696	3124
1084	3700	3120
1085	3703	3116
1086	3706	3113
1087	3709	3109
1088	3713	3106
1089	3717	3103
1090	3720	3100
1091	3723	3096
1092	3727	3092
1093	3730	3089
1094	3734	3086
1095	3737	3082
1096	3740	3079
1097	3744	3075
1098	3747	3072
1099	3750	3068
1100	3753	3065
1101	3757	3061
1102	3760	3058
1103	3763	3054
1104	3766	3050
1105	3769	3047
1106	3773	3043
1107	3776	3040
1108	3779	3036
1109	3782	3033
1110	3786	3029
1111	3789	3025
1112	3792	3022
1113	3795	3018
1114	3798	3015
1115	3802	3011
1116	3805	3008
1117	3808	3004
1118	3811	3000
1119	3814	2997
1120	3818	2993
1121	3821	2990
1122	3824	2986
1123	3827	2983
1124	3830	2979
1125	3833	2975
1126	3836	2972
1127	3840	2968
1128	3843	2965
1129	3846	2961
1130	3849	2958
1131	3853	2954
1132	3856	2950
1133	3859	2947
1134	3862	2943
1135	3865	2940
1136	3868	2936
1137	3871	2932
1138	3875	2929
1139	3878	2925
1140	3881	2922
1141	3884	2918
1142	3887	2915
1143	3891	2911
1144	3894	2908
1145	3897	2904
1146	3901	2901
1147	3904	2897
1148	3907	2893
1149	3910	2890
1150	3913	2886
1151	3916	2883
1152	3919	2879
1153	3922	2875
1154	3925	2872
1155	3929	2868
1156	3932	2865
1157	3935	2861
1158	3938	2857
1159	3941	2854
1160	3945	2850
1161	3948	2847
1162	3951	2843
1163	3954	2840
1164	3957	2836
1165	3961	2833
1166	3964	2829
1167	3967	2826
1168	3970	2822
1169	3973	2819
1170	3976	2815
1171	3980	2811
1172	3983	2808
1173	3986	2804
1174	3989	2801
1175	3992	2797
1176	3995	2794
1177	3999	2790
1178	4002	2786
1179	4005	2783
1180	4008	2779
1181	4011	2776
1182	4014	2772
1183	4017	2769
1184	4021	2765
1185	4024	2762
1186	4028	2758
1187	4031	2755
1188	4034	2751
1189	4037	2748
1190	4041	2745
1191	4044	2741
1192	4047	2738
1193	4051	2734
1194	4054	2731
1195	4057	2727
1196	4061	2724
1197	4064	2721
1198	4067	2717
1199	4071	2714
1200	4074	2710
1201	4077	2707
1202	4080	2703
1203	4084	2700
1204	4087	2696
1205	4090	2693
1206	4093	2689
1207	4096	2685
1208	4099	2682
1209	4102	2678
1210	4106	2675
1211	4109	2671
1212	4112	2668
1213	4115	2664
1214	4118	2661
1215	4121	2657
1216	4125	2654
1217	4128	2650
1218	4131	2646
1219	4134	2643
1220	4137	2640
1221	4141	2636
1222	4144	2633
1223	4147	2629
1224	4151	2626
1225	4154	2623
1226	4157	2619
1227	4161	2616
1228	4164	2612
1229	4167	2608
1230	4170	2605
1231	4173	2601
1232	4176	2598
1233	4180	2594
1234	4183	2591
1235	4186	2587
1236	4189	2584
1237	4193	2580
1238	4196	2577
1239	4199	2573
1240	4202	2570
1241	4206	2566
1242	4209	2563
1243	4212	2559
1244	4215	2556
1245	4218	2552
1246	4222	2549
1247	4225	2545
1248	4228	2542
1249	4231	2538
1250	4234	2535
1251	4237	2531
1252	4240	2528
1253	4243	2524
1254	4246	2520
1255	4249	2517
1256	4252	2513
1257	4255	2510
1258	4259	2506
1259	4262	2503
1260	4265	2500
1261	4269	2496
1262	4272	2493
1263	4275	2489
1264	4279	2486
1265	4282	2482
1266	4285	2479
1267	4288	2475
1268	4292	2472
1269	4295	2469
1270	4299	2465
1271	4302	2462
1272	4306	2459
1273	4311	2456
1274	4314	2453
1275	4318	2450
1276	4322	2447
1277	4325	2443
1278	4329	2440
1279	4332	2437
1280	4336	2434
1281	4340	2431
1282	4344	2427
1283	4347	2424
1284	4351	2421
1285	4354	2417
1286	4358	2414
1287	4362	2411
1288	4366	2408
1289	4369	2404
1290	4372	2401
1291	4375	2397
1292	4378	2394
1293	4382	2390
1294	4384	2387
1295	4388	2383
1296	4391	2380
1297	4394	2376
1298	4397	2373
1299	4401	2369
1300	4404	2366
1301	4407	2362
1302	4410	2359
1303	4413	2355
1304	4416	2352
1305	4419	2348
1306	4423	2345
1307	4426	2341
1308	4429	2338
1309	4433	2334
1310	4436	2331
1311	4439	2327
1312	4442	2324
1313	4446	2321
1314	4449	2317
1315	4452	2314
1316	4455	2310
1317	4458	2307
1318	4461	2303
1319	4464	2299
1320	4467	2296
1321	4470	2292
1322	4473	2289
1323	4476	2285
1324	4479	2282
1325	4483	2278
1326	4486	2275
1327	4489	2271
1328	4492	2268
1329	4495	2264
1330	4498	2261
1331	4501	2257
1332	4504	2254
1333	4508	2250
1334	4511	2247
1335	4514	2243
1336	4517	2240
1337	4520	2236
1338	4523	2233
1339	4526	2229
1340	4529	2226
1341	4533	2222
1342	4536	2219
1343	4539	2215
1344	4542	2212
1345	4545	2208
1346	4549	2205
1347	4552	2201
1348	4555	2198
1349	4558	2194
1350	4561	2191
1351	4564	2187
1352	4567	2184
1353	4570	2180
1354	4573	2177
1355	4576	2173
1356	4580	2170
1357	4583	2166
1358	4586	2163
1359	4589	2159
1360	4592	2156
1361	4595	2152
1362	4599	2149
1363	4602	2145
1364	4605	2142
1365	4608	2138
1366	4611	2135
1367	4614	2131
1368	4617	2128
1369	4620	2124
1370	4624	2121
1371	4627	2118
1372	4630	2114
1373	4633	2111
1374	4636	2107
1375	4639	2104
1376	4642	2100
1377	4646	2097
1378	4649	2093
1379	4652	2090
1380	4655	2086
1381	4658	2083
1382	4661	2079
1383	4665	2076
1384	4668	2072
1385	4671	2069
1386	4674	2065
1387	4677	2062
1388	4680	2058
1389	4683	2055
1390	4686	2052
1391	4690	2048
1392	4693	2045
1393	4696	2041
1394	4699	2038
1395	4702	2034
1396	4705	2031
1397	4708	2027
1398	4711	2024
1399	4714	2020
1400	4718	2017
1401	4721	2013
1402	4724	2010
1403	4727	2006
1404	4730	2003
1405	4733	1999
1406	4736	1996
1407	4739	1992
1408	4742	1989
1409	4746	1985
1410	4749	1982
1411	4752	1979
1412	4755	1975
1413	4758	1972
1414	4761	1968
1415	4764	1965
1416	4767	1961
1417	4771	1958
1418	4774	1954
1419	4777	1951
1420	4781	1948
1421	4784	1944
1422	4787	1941
1423	4790	1937
1424	4793	1934
1425	4796	1930
1426	4799	1927
1427	4803	1923
1428	4806	1920
1429	4809	1916
1430	4812	1913
1431	4815	1910
1432	4818	1906
1433	4821	1903
1434	4824	1899
1435	4827	1896
1436	4830	1892
1437	4834	1889
1438	4837	1885
1439	4841	1882
1440	4844	1879
1441	4847	1875
1442	4850	1872
1443	4853	1868
1444	4856	1865
1445	4859	1861
1446	4862	1858
1447	4866	1855
1448	4869	1851
1449	4872	1848
1450	4875	1844
1451	4878	1841
1452	4882	1837
1453	4885	1834
1454	4888	1831
1455	4892	1827
1456	4895	1824
1457	4898	1820
1458	4901	1817
1459	4904	1814
1460	4907	1810
1461	4910	1807
1462	4914	1803
1463	4917	1800
1464	4920	1796
1465	4923	1793
1466	4926	1790
1467	4930	1786
1468	4933	1783
1469	4936	1779
1470	4940	1776
1471	4943	1773
1472	4947	1769
1473	4950	1766
1474	4953	1763
1475	4956	1759
1476	4959	1756
1477	4962	1752
1478	4965	1749
1479	4969	1745
1480	4972	1742
1481	4975	1739
1482	4978	1735
1483	4981	1732
1484	4984	1728
1485	4988	1725
1486	4991	1721
1487	4994	1718
1488	4997	1715
1489	5000	1711
1490	5003	1708
1491	5006	1704
1492	5010	1701
1493	5013	1697
1494	5016	1694
1495	5019	1691
1496	5022	1687
1497	5025	1684
1498	5028	1680
1499	5032	1677
1500	5035	1673
1501	5038	1670
1502	5041	1667
1503	5044	1663
1504	5047	1660
1505	5050	1656
1506	5054	1653
1507	5057	1650
1508	5060	1646
1509	5063	1643
1510	5066	1639
1511	5069	1636
1512	5072	1632
1513	5076	1629
1514	5079	1626
1515	5082	1622
1516	5085	1619
1517	5088	1615
1518	5092	1612
1519	5095	1608
1520	5098	1605
1521	5101	1602
1522	5104	1598
1523	5107	1595
1524	5110	1591
1525	5113	1588
1526	5117	1585
1527	5120	1581
1528	5123	1578
1529	5126	1574
1530	5129	1571
1531	5132	1567
1532	5135	1564
1533	5138	1561
1534	5141	1557
1535	5145	1554
1536	5148	1550
1537	5151	1547
1538	5154	1544
1539	5158	1540
1540	5161	1537
1541	5164	1533
1542	5167	1530
1543	5170	1527
1544	5173	1523
1545	5176	1520
1546	5179	1516
1547	5182	1513
1548	5185	1509
1549	5189	1506
1550	5192	1503
1551	5195	1499
1552	5198	1496
1553	5201	1492
1554	5204	1489
1555	5207	1486
1556	5211	1482
1557	5214	1479
1558	5217	1475
1559	5220	1472
1560	5223	1469
1561	5226	1465
1562	5230	1462
1563	5233	1458
1564	5236	1455
1565	5239	1452
1566	5242	1448
1567	5245	1445
1568	5248	1441
1569	5252	1438
1570	5255	1435
1571	5258	1431
1572	5261	1428
1573	5264	1424
1574	5268	1421
1575	5271	1418
1576	5274	1414
1577	5277	1411
1578	5280	1407
1579	5283	1404
1580	5286	1401
1581	5289	1397
1582	5292	1394
1583	5295	1390
1584	5298	1387
1585	5301	1383
1586	5304	1380
1587	5308	1377
1588	5311	1373
1589	5314	1370
1590	5317	1366
1591	5320	1363
1592	5323	1360
1593	5327	1356
1594	5330	1353
1595	5333	1350
1596	5336	1346
1597	5339	1343
1598	5342	1339
1599	5346	1336
1600	5349	1333
1601	5352	1329
1602	5355	1326
1603	5358	1322
1604	5361	1319
1605	5364	1316
1606	5367	1312
1607	5371	1309
1608	5374	1305
1609	5377	1302
1610	5380	1299
1611	5383	1295
1612	5386	1292
1613	5389	1288
1614	5392	1285
1615	5395	1282
1616	5398	1278
1617	5402	1275
1618	5405	1272
1619	5409	1268
1620	5412	1265
1621	5415	1262
1622	5419	1258
1623	5422	1255
1624	5425	1252
1625	5428	1248
1626	5432	1245
1627	5435	1242
1628	5438	1238
1629	5442	1235
1630	5445	1231
1631	5448	1228
1632	5452	1225
1633	5455	1221
1634	5458	1218
1635	5462	1215
1636	5465	1211
1637	5468	1208
1638	5472	1205
1639	5475	1201
1640	5479	1198
1641	5482	1195
1642	5485	1192
1643	5489	1188
1644	5492	1185
1645	5495	1181
1646	5498	1178
1647	5502	1175
1648	5505	1171
1649	5509	1168
1650	5512	1165
1651	5515	1161
1652	5519	1158
1653	5522	1155
1654	5525	1151
1655	5528	1148
1656	5532	1145
1657	5535	1141
1658	5538	1138
1659	5542	1135
1660	5545	1131
1661	5549	1128
1662	5553	1125
1663	5557	1122
1664	5560	1118
1665	5563	1115
1666	5566	1112
1667	5570	1108
1668	5574	1105
1669	5578	1102
1670	5581	1099
1671	5585	1095
1672	5588	1092
1673	5591	1088
1674	5595	1085
1675	5598	1082
1676	5601	1078
1677	5605	1075
1678	5608	1072
1679	5612	1069
1680	5615	1065
1681	5619	1062
1682	5623	1059
1683	5626	1055
1684	5629	1052
1685	5633	1049
1686	5636	1045
1687	5639	1042
1688	5643	1039
1689	5646	1035
1690	5649	1032
1691	5653	1029
