name,type,lat,lon,address
Phân hiệu Trường Đại học Kiểm sát tại TP. Hồ Chí Minh,Trường đại học,10.8474402,106.7935116,"Đ. 449 Đ. Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh 71207, Vietnam"
"Vietnam National University HCM, University of Economics and Law",Trường đại học,10.8704225,106.7783101,"669 QL1A, khu phố 6, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
HCMC Univeristy of Technical Education - Campus 2,Trường đại học,10.845037699999999,106.79634539999999,"484 Đ. Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
HCMC University of Industry and Trade,Trường đại học,10.8061539,106.62866559999999,"140 Lê Trọng Tấn, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh, Vietnam"
Đại học Tài chính - Marketing,Trường đại học,10.7521352,106.7199412,"27 Đ. Tân Mỹ, Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Vietnam"
Posts and Telecommunications Institute of Technology HCM Branch,Trường đại học,10.847987,106.78666469999999,"97 Man Thiện, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
University of Architecture HCMC (UAH),Trường đại học,10.7819872,106.69448949999999,"196 Pasteur, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam"
University of People's Security,Trường đại học,10.8734355,106.8070322,"Km18 XLHN, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Hiệp Phú (Chợ Nhỏ cũ),Chợ,10.844375399999999,106.7848463,"265 Đ. Lê Văn Việt, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Tăng Nhơn Phú A,Chợ,10.8443402,106.7878066,"412/11 Đ. Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Phước Bình - Đại lộ 2,Chợ,10.8173924,106.7720746,"Đại lộ 2, Phước Bình, Quận 9, Thành phố Hồ Chí Minh, Vietnam"
Chợ Hoa Cau,Chợ,10.832154899999999,106.7727039,"40A Đ.Số 147, Phước Long B, Quận 9, Thành phố Hồ Chí Minh 71210, Vietnam"
Chợ đêm Man Thiện,Chợ,10.8496741,106.79596199999999,"228 Man Thiện, Phường Tân Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Nam Cao Market,Chợ,10.8629485,106.7978515,"15 Đ. Nam Cao, Phường Tân Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ chồm hổm Tân Phú,Chợ,10.8675984,106.80638669999999,"VR94+2HJ, Đ. 154, Phường Tân Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Long Thạnh Mỹ Market,Chợ,10.8424179,106.8205426,"227 Nguyễn Văn Tăng, Long Thạnh Mỹ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Long Trường,Chợ,10.805921999999999,106.8223529,"RR4C+9W9, Nguyễn Duy Trinh, Long Trường, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ đêm Vinhomes Grand Park,Chợ,10.8403993,106.8436414,"RRQV+WX, Long Bình, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Thu Duc Market,Chợ,10.850273099999999,106.7543013,"6 Đ. Võ Văn Ngân, Trường Thọ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Long Phuoc Market,Chợ,10.8084572,106.859883,"Long Phước, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
